,,,,,,,,,COP 4,COP 3,COP 1
Concept,Neighbourhood,Energy Status,PV Surface,PV Efficiency,Ground Coverage Ratio,PV Mounting,Buildings,"PV (Generation, kWh/m2)",RoP (Ratio of Performance),RoP (Ratio of Performance),RoP (Ratio of Performance)
Rural Cluster,RC-R,Positive,Roof,18.68%,0.4,Fixed Roof Mounted,24 detached (two-storey house) homes,91.38,1.49,-,-
Peripheral Community,RC-D,Positive,Roof,18.68%,0.4,Fixed Roof Mounted,48 detached (two-storey house) homes,91.2,1.47,-,-
Peripheral Community,RC-T,Positive,Roof,18.68%,0.4,Fixed Roof Mounted,56 attached units,91.3,1.57,-,-
Midrise Suburb,RC-MR2,Negative,Roof,18.68%,0.4,Fixed Open Rack,8 Midrise,48.1,0.6,-,-
Urban Transition-Zone,RC-MR3,Negative,Roof,18.68%,0.4,Fixed Open Rack,12 Midrise,48.1,0.6,-,-
Downtown Residential,RC-HR2,Negative,Roof + Facade,18.68%,0.4,Fixed Open Rack,4 Highrise,39.7,0.44,-,-
Midrise Suburb,RC-MR1,Negative,Roof,18.68%,0.4,Fixed Open Rack,4x Mid-Rise + 28x Attached Houses,,,,
Suburban High-Density,RC-HR1,Negative,Roof + Facade,18.68%,0.4,Fixed Open Rack,2x High-Rise + 4x Mid-Rise,,,,
Peripheral Community,RC-ML,Negative,Roof,18.68%,0.4,Fixed Roof Mounted,24x Detached Houses + 28x Attached Houses ,,,,
