,NUs Type,Location,Development Typologies,Concept,Archetype,old name,published name,Density (u/ac),Density (FAR),Building Content
Existing,Residential Clusters (RC),Suburban Outer,8. Rural Cluster,Low-density Cluster,RC-R,RC1,RC1,Very low density (< 5 du/ac),-,"24x Detached Houses (2-St, Residential, 110sqm)"
Existing,Residential Clusters (RC),Suburban Outer,7. Peripheral Community,Suburban Standard,RC-D,RC2,RC2,Low density (5 - 10 du/ac),-,"48x Detached Houses (2-St, Residential, 110sqm)"
Proposed,Residential Clusters (RC),Suburban Outer,7. Peripheral Community,Low-density Blend,RC-ML,RC2-3,-,Medium density (10 - 35 du/ac),-,"24x Detached Houses (2-St, Residential, 110sqm) + 28x Attached Houses (2-St, Residential, 180sqm)"
Existing,Residential Clusters (RC),Suburban Outer,7. Peripheral Community,Row Housing,RC-T,RC3,RC3,Medium density (10 - 35 du/ac),-,"56x Attached Houses (2-St, Residential, 180sqm)"
Proposed,Residential Clusters (RC),Suburban Inner,6. Midrise Suburb,Transition Blend,RC-MR1,RC3-4 ,-,Medium density (10 - 35 du/ac),-,"4x Mid-Rise (4-St, Residential, 784sqm) + 28x Attached Houses (2-St, Residential, 180sqm)"
Existing,Residential Clusters (RC),Suburban Inner,6. Midrise Suburb,Commons Living,RC-MR2,RC4,RC4,High density (35 - 80 du/ac),-,"8x Mid-Rise (4-St, Residential, 784sqm)"
Existing,Residential Clusters (RC),Urban Mid-zone,3. Urban Transition-Zone,Residential Corridor,RC-MR3,RC5,RC5,High density (35 - 80 du/ac),-,"12x Midrise (4-St, Residential, 784sqm)"
Proposed,Residential Clusters (RC),Urban Mid-zone,4. Suburban High-Density,Density Blend,RC-HR1,RC4-6,-,High density (35 - 80 du/ac),-,"2x High-Rise (10-St, Residential, 784sqm) + 4x Mid-Rise (4-St, Residential, 784sqm)"
Proposed,Residential Clusters (RC),Urban Core,2. Downtown Residential,High-Rise Node,RC-HR2,RC6,-,Very high density (> 80 du/ac),-,"4x High-Rise (10-St, Residential, 784sqm)"
,,,,,,,,,,
Existing,Residential Service Clusters (RS),Suburban Outer,7. Peripheral Community,Village Node,RS-S,CR1,CR,Low density (5 - 10 du/ac),-,"12x Detached Houses (2-St, Residential, 110sqm) + 28x Attached Houses (2-St, Residential, 180sqm) + 1x Small Office (1-St, Commercial, 511sqm) + 1x Small Retail (1-St, Commercial, 390sqm) + 1x QSR (1-St, Commercial, 232sqm) + 1x FSR (1-St, Commercial, 511sqm)"
